Hours_Studied,Attendance,Assignment_Score,Midterm_Score,Final_Score
1,60,55,50,52
2,65,58,55,57
3,70,60,58,60
4,75,65,62,64
5,80,68,65,68
6,85,72,68,71
7,90,75,70,74
8,,78,72,77
9,88,80,75,79
10,92,85,78,83
4,72,62,,63
6,78,70,67,70
8,85,76,71,75
2,66,57,54,56
5,80,,66,69
7,88,74,70,73
9,,82,76,80
3,68,59,,58
6,82,71,69,72
8,90,79,73,78
7,66,57,79,77
4,68,76,91,86
8,83,,,80
5,60,86,56,64
7,67,82,65,70
10,,100,75,84
3,70,91,,95
7,76,93,98,97
8,67,73,51,58
5,94,,50,54
4,94,81,97,93
8,92,81,61,70
8,64,73,54,61
3,98,90,,85
6,100,98,81,86
5,,98,58,69
2,66,61,90,82
8,68,88,84,86
6,67,,68,67
2,71,52,97,86
5,93,98,65,74
1,92,86,,61
10,82,98,,80
6,83,66,73,76
9,,98,82,86
1,94,,73,68
10,99,51,60,65
3,81,77,98,94
7,86,72,,64
4,94,,85,92
9,60,81,87,88
3,94,82,89,90
5,96,,69,70
3,,68,84,82
7,62,51,97,88
5,,93,74,79
9,64,75,84,83
7,85,81,74,77
2,73,55,,73
4,98,,67,72
9,86,53,95,93
2,68,60,67,63
10,,66,51,60
9,74,87,,84
10,85,73,65,70
5,72,,90,85
2,91,83,85,85
4,98,55,82,77
7,91,71,,60
8,63,60,82,80
3,89,,,70
1,,65,70,71
4,82,82,97,94
2,98,58,69,68
8,74,55,57,64
4,88,65,,62
2,95,78,52,56
6,72,52,66,66
6,91,69,82,80
10,66,85,97,97
4,81,68,,63
6,87,75,,96
2,,52,71,68
10,65,68,71,75
2,87,69,95,88
10,87,81,79,82
4,79,56,87,81
8,89,90,,89
7,70,,,95
9,87,89,100,100
8,84,88,57,65
5,98,67,76,78
2,92,89,76,82
5,60,50,,79
8,86,60,70,69
10,72,77,79,81
9,100,,,86
9,62,99,77,82
1,,72,96,92
9,65,80,82,85
